Stock,Date,Industry,Open,Close,High,Low,Volume,Adjust Close Price,Daily Value Traded,Beta,RSI,EPS,Total Revenue Quarter,Dividend per share Quarter
XOM,11/24/2022,Energy,0,0,0,0,0,103.37069,0,4.42537,60.55567,6.15461,107438,0.88
XOM,11/23/2022,Energy,112.32,113.61,113.9488,112.1,11.54669,103.37069,1311.81945,2.14502,60.55567,6.15461,107438,0.88
XOM,11/22/2022,Energy,112.21,114.18,114.47,111.43,17.71909,103.88932,2023.1657,2.2304,62.22785,6.15461,107438,0.88
XOM,11/21/2022,Energy,109.99,110.97,111.2041,107.48,20.97298,100.96863,2327.37159,-0.42991,55.8529,6.15461,107438,0.88
XOM,11/20/2022,Energy,0,0,0,0,0,101.97859,0,0.0383,59.05313,6.15461,107438,0.88
XOM,11/19/2022,Energy,0,0,0,0,0,101.97859,0,0.61282,59.05313,6.15461,107438,0.88
XOM,11/18/2022,Energy,110.9,112.08,112.48,109.61,15.41503,101.97859,1727.71656,0.61282,59.05313,6.15461,107438,0.88
XOM,11/17/2022,Energy,111.29,113.06,113.2,110.75,12.43574,102.87026,1405.98476,0.92677,61.9638,6.15461,107438,0.88
XOM,11/16/2022,Energy,113.44,112.91,114.2599,111.86,13.59097,102.73378,1534.55642,0.8327,61.69546,6.15461,107438,0.88
XOM,11/15/2022,Energy,113.8,114.13,114.53,112.87,19.37375,103.84383,2211.12609,1.3722,65.16761,6.15461,107438,0.88
XOM,11/14/2022,Energy,112.63,113.37,114.64,112.49,20.85829,103.15232,2364.70434,0.17704,63.99549,6.15461,107438,0.88
XOM,11/13/2022,Energy,0,0,0,0,0,102.85206,0,0.68367,65.55882,6.15461,107438,0.88
XOM,11/12/2022,Energy,0,0,0,0,0,102.85206,0,0.6635,65.55882,6.15461,107438,0.88
XOM,11/11/2022,Energy,112.58,113.95,114.5,112.49,20.51885,102.85206,2338.12296,0.6635,65.55882,6.15461,107438,0.88
XOM,11/10/2022,Energy,110.19,110.5,110.7,107.5701,20.14673,99.73807,2226.21367,0.70842,60.18686,6.15461,107438,0.88
XOM,11/9/2022,Energy,113.1,108.9,113.28,108.57,19.52276,98.2939,2126.02856,1.84531,57.32009,6.15461,107438,0.88
XOM,11/8/2022,Energy,113.48,114,114.6642,112.595,14.66103,102.89719,1671.35742,0.96388,72.84516,6.15461,107438,0.88
XOM,11/7/2022,Energy,112.41,113.64,113.99,112.13,16.00804,102.57226,1819.15367,-0.10357,72.35436,6.15461,107438,0.88
XOM,11/6/2022,Energy,0,0,0,0,0,101.37179,0,0.71824,70.52692,6.15461,107438,0.88
XOM,11/5/2022,Energy,0,0,0,0,0,101.37179,0,0.73803,70.52692,6.15461,107438,0.88
XOM,11/4/2022,Energy,113,112.31,113.5,110.8,17.54146,101.37179,1970.08137,0.73803,70.52692,6.15461,107438,0.88
XOM,11/3/2022,Energy,108.58,111.1,111.82,108.31,17.10367,100.27963,1900.21774,1.60974,68.78372,6.15461,107438,0.88
XOM,11/2/2022,Energy,111.58,109.61,112.1,109.31,20.66178,98.93475,2264.73771,1.38236,66.51944,6.15461,107438,0.88
XOM,11/1/2022,Energy,112.37,111.91,112.57,110.65,22.21314,101.01075,2485.8725,0.80068,74.23793,6.15461,107438,0.88
XOM,10/31/2022,Energy,109.5,110.81,112.91,109.44,26.40184,100.01788,2925.58789,0.85782,72.83827,6.15461,107438,0.88
XOM,10/30/2022,Energy,0,0,0,0,0,99.91859,0,0.67419,72.70055,6.15461,107438,0.88
XOM,10/29/2022,Energy,0,0,0,0,0,99.91859,0,0.30706,72.70055,6.15461,107438,0.88
XOM,10/28/2022,Energy,109.46,110.7,111.21,108.12,28.16944,99.91859,3118.35701,0.30706,72.70055,6.15461,107438,0.88
XOM,10/27/2022,Energy,108.41,107.55,109.58,107.42,18.21402,97.07538,1958.91785,-0.64883,68.44615,6.15461,107438,0.88
XOM,10/26/2022,Energy,106.26,107.14,107.83,106,17.39041,96.70531,1863.20853,-0.6274,67.84041,6.15461,107438,0.88
XOM,10/25/2022,Energy,106.41,105.88,107.33,105.07,15.71981,95.56803,1664.41348,1.23524,65.97656,6.15461,107438,0.88
XOM,10/24/2022,Energy,105.66,106.6,107.68,105.12,17.02424,96.2179,1814.78398,0.51698,68.06987,6.15461,107438,0.88
XOM,10/23/2022,Energy,0,0,0,0,0,95.54997,0,0.12669,67.07283,6.15461,107438,0.88
XOM,10/22/2022,Energy,0,0,0,0,0,95.54997,0,-0.01627,67.07283,6.15461,107438,0.88
XOM,10/21/2022,Energy,104.45,105.86,106.4,103.905,22.81415,95.54997,2415.10592,-0.01627,67.07283,6.15461,107438,0.88
XOM,10/20/2022,Energy,104.32,103.93,105,103.41,17.64903,93.80794,1834.26369,-0.6526,64.37908,6.15461,107438,0.88
XOM,10/19/2022,Energy,101.25,103.79,103.99,101.23,20.9217,93.68158,2171.46324,-0.49586,64.18171,6.15461,107438,0.88
XOM,10/18/2022,Energy,101.54,100.8,102.35,99.23,14.06544,90.98278,1417.79635,0.81015,59.75983,6.15461,107438,0.88
XOM,10/17/2022,Energy,101.07,100.62,101.97,100.5,14.28323,90.82031,1437.1786,1.01889,59.4802,6.15461,107438,0.88
XOM,10/16/2022,Energy,0,0,0,0,0,89.52959,0,1.22117,57.29079,6.15461,107438,0.88
XOM,10/15/2022,Energy,0,0,0,0,0,89.52959,0,1.24043,57.29079,6.15461,107438,0.88
XOM,10/14/2022,Energy,101.12,99.19,102.24,99.04,15.22963,89.52959,1510.627,1.24043,57.29079,6.15461,107438,0.88
XOM,10/13/2022,Energy,97.55,101.87,102.45,97.4,22.01914,91.94857,2243.08979,1.22149,63.23706,6.15461,107438,0.88
XOM,10/12/2022,Energy,97.5,98.43,98.91,97.23,12.63577,88.8436,1243.73884,5.64919,58.04715,6.15461,107438,0.88
XOM,10/11/2022,Energy,97.22,98,99.76,96.75,17.80413,88.45548,1744.80474,-0.2157,57.34825,6.15461,107438,0.88
XOM,10/10/2022,Energy,101.49,98.84,102.03,98.72,16.78609,89.21367,1659.13714,0.4398,59.13525,6.15461,107438,0.88
XOM,10/9/2022,Energy,0,0,0,0,0,91.19038,0,1.99067,63.9602,6.15461,107438,0.88
XOM,10/8/2022,Energy,0,0,0,0,0,91.19038,0,0.68981,63.9602,6.15461,107438,0.88
XOM,10/7/2022,Energy,102.19,101.03,103.315,100.18,24.50765,91.19038,2476.00788,0.68981,63.9602,6.15461,107438,0.88
XOM,10/6/2022,Energy,98.47,102.06,102.18,98.33,29.12472,92.12007,2972.46892,0.0844,66.32353,6.15461,107438,0.88
